Country,SCP,MCP,PD
UNITED KINGDOM,249,72,321
SPAIN,249,44,293
ITALY,99,21,120
NETHERLANDS,78,23,101
GERMANY,78,16,94
USA,0,92,92
RUSSIA,67,8,75
FINLAND,43,10,53
SWEDEN,35,14,49
NORWAY,32,16,48
